iso,code,country,B.2.3.3_raw_2016,B.2.3.3_raw_2017,B.2.3.3_raw_2018
ABW,533,Aruba,NA,NA,NA
AFG,4,Afghanistan,180,180,180
AGO,24,Angola,163.7,162.5,161.2
AIA,660,Anguilla,NA,NA,NA
ALB,8,Albania,118.8,118.8,149.5
AND,20,Andorra,NA,NA,NA
ARE,784,United Arab Emirates,250,250,250
ARG,32,Argentina,225.6,225.5,227.9
ARM,51,Armenia,120.1,131.5,139.3
ATG,28,Antigua and Barbuda,187.5,187.5,336
AUS,36,Australia,263.3,276,280.4
AUT,40,Austria,332.6,334.5,336.7
AZE,31,Azerbaijan,111.8,111.8,111.9
BDI,108,Burundi,202,202,202
BEL,56,Belgium,305.4,306,312.3
BEN,204,Benin,148,148,148
BFA,854,Burkina Faso,89.5,83.7,86.5
BGD,50,Bangladesh,71.2,71.3,71.3
BGR,100,Bulgaria,92.6,145.7,142.1
BHR,48,Bahrain,120,120,120
BHS,44,Bahamas,170,170,170
BIH,70,Bosnia and Herzegovina,214.8,224.4,205
BLM,652,Saint Barthelemy,NA,NA,NA
BLR,112,Belarus,183.9,176.5,182.3
BLZ,84,Belize,204.1,204,204.1
BMU,60,Bermuda,161.5,161.7,161.9
BOL,68,Bolivia,195.7,194.9,194.8
BRA,76,Brazil,246.9,246.6,250
BRB,52,Barbados,204.7,184.3,207
BRN,96,Brunei Darussalam,227.3,234.7,242.2
BTN,64,Bhutan,103,103,103
BWA,72,Botswana,200,200,199.2
CAF,140,Central African Republic,155.8,155.9,156
CAN,124,Canada,302.6,317.3,335.1
CHE,756,Switzerland,229.5,230.7,235.4
CHL,152,Chile,246.6,261.2,264.4
CHN,156,China,144.8,146.4,146.6
CIV,384,Cote d'Ivoire,108.9,108.9,109
CMR,120,Cameroon,108.3,105.6,103
COD,180,Dem. Rep. Congo,183.3,185.5,187.6
COG,178,Republic of Congo,156,156,156
COK,184,Cook Islands,113.7,111.1,109.2
COL,170,Colombia,219.3,221.1,217.5
COM,174,Comoros,110,110,110
CPV,132,Cabo Verde,154.6,155.6,156.6
CRI,188,Costa Rica,230,229.7,236.1
CUB,192,Cuba,169.3,164.6,161.9
CUW,531,Curacao,NA,NA,NA
CYM,136,Cayman Islands,NA,NA,NA
CYP,196,Cyprus,302.5,307.7,312.9
CZE,203,Czech Republic,297.5,293.4,302.4
DEU,276,Germany,317.4,320.3,322.6
DJI,262,Djibouti,112.9,113.9,114.9
DMA,212,Dominica,180,180,180
DNK,208,Denmark,260.8,263.1,261.6
DOM,214,Dominican Republic,185.2,147.7,149.7
DZA,12,Algeria,207.9,231,222.4
ECU,218,Ecuador,207.9,208.3,208.9
EGY,818,Egypt,324.7,245.3,246.6
ERI,232,Eritrea,96,95.3,94.7
ESH,732,Western Sahara,NA,NA,NA
ESP,724,Spain,268.3,269.3,271.7
EST,233,Estonia,345,295.5,312.9
ETH,231,Ethiopia,108.6,108.6,108.6
FIN,246,Finland,304.4,309.4,313.3
FJI,242,Fiji,93.7,227,211.2
FLK,238,Falkland Islands,260.7,260.7,260.7
FRA,250,France,310.1,307.3,311.8
FRO,234,Faeroe Islands,120.4,120.4,120.4
FSM,583,Micronesia,136,136,136
GAB,266,Gabon,132,132,132
GBR,826,United Kingdom,329.1,328.6,328
GEO,268,Georgia,72,72,78.8
GGY,831,Guernsey,NA,NA,NA
GHA,288,Ghana,205.4,124.9,152.8
GIN,324,Guinea,112.2,108.4,105.1
GMB,270,Gambia,120,120,120
GNB,624,Guinea-Bissau,110,110,110
GNQ,226,Equatorial Guinea,110,110,110
GRC,300,Greece,231.3,226.7,224.3
GRD,308,Grenada,159.1,159.1,159.2
GRL,304,Greenland,NA,NA,NA
GTM,320,Guatemala,185,169.8,172.8
GUY,328,Guyana,192,187.3,213.1
HKG,344,Hong Kong,300,298.6,301.7
HND,340,Honduras,186,186,186.7
HRV,191,Croatia,234.8,233.3,239.8
HTI,332,Haiti,155.1,155.4,155.7
HUN,348,Hungary,256.2,254.6,257
IDN,360,Indonesia,241,245.1,432.9
IMN,833,Isle of Man,NA,NA,NA
IND,356,India,103,103,103
IRL,372,Ireland,337.3,333.2,336.6
IRN,364,Iran,386.6,410.3,430.8
IRQ,368,Iraq,213.5,214,214.5
ISL,352,Iceland,194.1,202,209.4
ISR,376,Israel,314.1,350.2,283.4
ITA,380,Italy,287.7,288.8,295.9
JAM,388,Jamaica,279.8,264.4,258.7
JEY,832,Jersey,NA,NA,NA
JOR,400,Jordan,240.3,245,243.7
JPN,392,Japan,441.7,448.8,444.4
KAZ,398,Kazakhstan,173.8,174.7,175.5
KEN,404,Kenya,215,227.4,234.4
KGZ,417,Kyrgyzstan,166.1,162,164.7
KHM,116,Cambodia,120,120,120
KIR,296,Kiribati,NA,NA,NA
KNA,659,Saint Kitts and Nevis,230,230,232.7
KOR,410,South Korea,321.7,321.9,325.5
KWT,414,Kuwait,264.3,298.8,288.4
LAO,418,Laos,125.9,126,126.1
LBN,422,Lebanon,206.2,206.4,206.6
LBR,430,Liberia,125,125,125
LBY,434,Libya,202.6,202,201.3
LCA,662,Saint Lucia,182.3,182,181.8
LIE,438,Liechtenstein,NA,NA,NA
LKA,144,Sri Lanka,136.4,136.5,136.5
LSO,426,Lesotho,152.7,154.6,156.5
LTU,440,Lithuania,240.3,247.5,247.3
LUX,442,Luxembourg,365.7,364.9,366.4
LVA,428,Latvia,188.1,195.3,194.8
MAC,446,Macao,382.4,394,405.7
MAR,504,Morocco,204.7,207.9,218.9
MCO,492,Monaco,NA,NA,NA
MDA,498,Moldova,136.2,112.7,129.2
MDG,450,Madagascar,127.5,127.5,127.5
MDV,462,Maldives,NA,NA,NA
MEX,484,Mexico,236.1,240,243.4
MHL,584,Marshall Islands,NA,NA,NA
MKD,807,North Macedonia,123.8,128.8,208.6
MLI,466,Mali,130,130,129.4
MLT,470,Malta,276.2,273.4,270.6
MMR,104,Myanmar,223.4,222.3,223.9
MNE,499,Montenegro,197.9,209.7,197.5
MNG,496,Mongolia,132.7,126.5,163.4
MOZ,508,Mozambique,154.1,145.1,161.9
MRT,478,Mauritania,125.2,125.7,125.9
MUS,480,Mauritius,247.5,244.6,244.1
MWI,454,Malawi,108.9,110.8,110.7
MYS,458,Malaysia,313.4,320.7,328.7
NAM,516,Namibia,265.6,266.1,267.4
NCL,540,New Caledonia,195.5,197.4,195
NER,562,Niger,294.9,289.3,277.9
NGA,566,Nigeria,116.4,115.6,115.4
NIC,558,Nicaragua,168.9,180.4,174.6
NIU,570,Niue,199.2,198.9,198.6
NLD,528,Netherlands,198.5,203.6,203.3
NOR,578,Norway,285.4,285.9,279.3
NPL,524,Nepal,85,85,85
NRU,520,Nauru,NA,NA,NA
NZL,554,New Zealand,141.3,146.4,154.7
OMN,512,Oman,130,130,130
PAK,586,Pakistan,195.8,196.1,195.7
PAN,591,Panama,217,217,217.8
PER,604,Peru,141.3,141.8,140.7
PHL,608,Philippines,235.5,236.8,235.7
PLW,585,Palau,NA,NA,NA
PNG,598,Papua New Guinea,150,150,150
POL,616,Poland,287,295.9,305.9
PRK,408,North Korea,150,150,150
PRT,620,Portugal,240.5,241.5,244.4
PRY,600,Paraguay,233.6,234.7,261
PSE,275,State of Palestine,254.6,257.2,259.8
PYF,258,French Polynesia,156.5,156.9,156.9
QAT,634,Qatar,120,120,120
ROU,642,Romania,162.5,163.7,166.9
RUS,643,Russia,196.1,196.1,202.5
RWA,646,Rwanda,87.2,85.7,84.6
SAU,682,Saudi Arabia,200,200,200.1
SDN,729,Sudan,109.3,109.4,109.5
SEN,686,Senegal,180,188.7,188.2
SGP,702,Singapore,408.8,413.7,418.5
SLB,90,Solomon Islands,185,185,185
SLE,694,Sierra Leone,103,103,103
SLV,222,El Salvador,165.5,165.5,166.9
SMR,674,San Marino,NA,NA,NA
SOM,706,Somalia,110,110,110
SRB,688,Serbia,219.1,218.5,218.6
SSD,728,South Sudan,153.2,161,155.5
STP,678,Sao Tome and Principe,178.9,179.2,179.4
SUR,740,Suriname,199.4,188,187.5
SVK,703,Slovakia,252,255.3,259.6
SVN,705,Slovenia,304.9,298,301.2
SWE,752,Sweden,319.3,325.3,321.6
SWZ,748,Eswatini,225.1,224.9,224.8
SXM,534,Sint Maarten,NA,NA,NA
SYC,690,Seychelles,202.6,200.8,199.5
SYR,760,Syria,150.8,152.3,153.8
TCA,796,Turks and Caicos Islands,NA,NA,NA
TCD,148,Chad,120,120,120
TGO,768,Togo,125,125,125
THA,764,Thailand,131.1,113.8,256.3
TJK,762,Tajikistan,215,215,214.7
TKM,795,Turkmenistan,180.7,180.7,180.7
TLS,626,Timor-Leste,103,103,103
TON,776,Tonga,190,190,190
TTO,780,Trinidad and Tobago,151,150.9,150.8
TUN,788,Tunisia,243.4,258.8,246.9
TUR,792,Turkey,271.6,274.1,293
TUV,798,Tuvalu,NA,NA,NA
TWN,158,Taiwan,197.9,200.2,199
TZA,834,Tanzania,91.9,93.1,93.3
UGA,800,Uganda,149.6,149.6,149.6
UKR,804,Ukraine,166.3,166.6,167.2
URY,858,Uruguay,249.5,253.3,250.4
USA,840,United States of America,367.8,362.8,362.6
UZB,860,Uzbekistan,175.4,165.8,164.5
VAT,336,Holy See,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,218.5,218.9,215.2
VEN,862,Venezuela,218.9,219.1,220.8
VGB,92,British Virgin Islands,181.8,181.8,181.8
VNM,704,Viet Nam,192.4,194.7,194.9
VUT,548,Vanuatu,191.2,188.6,186.5
WLF,876,Wallis and Futuna Islands,170.3,170.7,171.1
WSM,882,Samoa,151.8,151.7,151.5
XKX,689,Kosovo,NA,NA,NA
YEM,887,Yemen,90.9,91,91
ZAF,710,South Africa,299.5,289.5,293.3
ZMB,894,Zambia,161,161,161.1
ZWE,716,Zimbabwe,226.7,227,227.2