code,iso,country,B.2.2.1_raw_2020
4,AFG,Afghanistan,NA
24,AGO,Angola,4.4
8,ALB,Albania,0.4
784,ARE,United Arab Emirates,NA
32,ARG,Argentina,2.6
51,ARM,Armenia,NA
28,ATG,Antigua and Barbuda,NA
36,AUS,Australia,6.5
40,AUT,Austria,NA
31,AZE,Azerbaijan,NA
108,BDI,Burundi,NA
56,BEL,Belgium,0.1
204,BEN,Benin,NA
854,BFA,Burkina Faso,NA
50,BGD,Bangladesh,11
100,BGR,Bulgaria,8.7
48,BHR,Bahrain,NA
44,BHS,Bahamas,NA
70,BIH,Bosnia and Herzegovina,NA
112,BLR,Belarus,NA
84,BLZ,Belize,NA
68,BOL,Bolivia,NA
76,BRA,Brazil,NA
52,BRB,Barbados,NA
96,BRN,Brunei Darussalam,5.5
64,BTN,Bhutan,NA
72,BWA,Botswana,NA
140,CAF,Central African Republic,NA
124,CAN,Canada,6.5
756,CHE,Switzerland,NA
152,CHL,Chile,26.1
156,CHN,China,3.3
384,CIV,Cote d'Ivoire,NA
120,CMR,Cameroon,12.5
180,COD,Dem. Rep. Congo,NA
178,COG,Republic of Congo,NA
170,COL,Colombia,18.1
174,COM,Comoros,NA
132,CPV,Cabo Verde,NA
188,CRI,Costa Rica,10.9
192,CUB,Cuba,NA
196,CYP,Cyprus,NA
203,CZE,Czech Republic,NA
276,DEU,Germany,0.9
262,DJI,Djibouti,NA
212,DMA,Dominica,NA
208,DNK,Denmark,2.8
214,DOM,Dominican Republic,NA
12,DZA,Algeria,NA
218,ECU,Ecuador,NA
818,EGY,Egypt,NA
232,ERI,Eritrea,NA
724,ESP,Spain,9.3
233,EST,Estonia,2.9
231,ETH,Ethiopia,NA
246,FIN,Finland,2.1
242,FJI,Fiji,69.9
250,FRA,France,9.4
583,FSM,Micronesia,70.8
266,GAB,Gabon,NA
826,GBR,United Kingdom,3.7
268,GEO,Georgia,3.2
288,GHA,Ghana,NA
324,GIN,Guinea,1.7
270,GMB,Gambia,14.2
624,GNB,Guinea-Bissau,NA
226,GNQ,Equatorial Guinea,4.3
300,GRC,Greece,12.7
308,GRD,Grenada,NA
320,GTM,Guatemala,NA
328,GUY,Guyana,NA
340,HND,Honduras,NA
191,HRV,Croatia,10.1
332,HTI,Haiti,NA
348,HUN,Hungary,NA
360,IDN,Indonesia,6.7
356,IND,India,13.1
372,IRL,Ireland,1
364,IRN,Iran,9.6
368,IRQ,Iraq,NA
352,ISL,Iceland,2.4
376,ISR,Israel,NA
380,ITA,Italy,4.7
388,JAM,Jamaica,NA
400,JOR,Jordan,NA
392,JPN,Japan,7
398,KAZ,Kazakhstan,NA
404,KEN,Kenya,NA
417,KGZ,Kyrgyzstan,NA
116,KHM,Cambodia,9.9
296,KIR,Kiribati,87.4
410,KOR,South Korea,1.5
414,KWT,Kuwait,NA
418,LAO,Laos,NA
422,LBN,Lebanon,NA
430,LBR,Liberia,3.1
662,LCA,Saint Lucia,NA
144,LKA,Sri Lanka,6.3
426,LSO,Lesotho,NA
440,LTU,Lithuania,9.2
442,LUX,Luxembourg,NA
428,LVA,Latvia,3.5
504,MAR,Morocco,1.9
498,MDA,Moldova,NA
450,MDG,Madagascar,NA
462,MDV,Maldives,100
484,MEX,Mexico,NA
584,MHL,Marshall Islands,74.5
807,MKD,North Macedonia,NA
466,MLI,Mali,NA
470,MLT,Malta,NA
104,MMR,Myanmar,5.7
499,MNE,Montenegro,3.7
496,MNG,Mongolia,NA
508,MOZ,Mozambique,NA
478,MRT,Mauritania,3.9
480,MUS,Mauritius,NA
454,MWI,Malawi,NA
458,MYS,Malaysia,5.7
516,NAM,Namibia,0
562,NER,Niger,NA
566,NGA,Nigeria,NA
558,NIC,Nicaragua,NA
528,NLD,Netherlands,0.7
578,NOR,Norway,7.3
524,NPL,Nepal,NA
554,NZL,New Zealand,3
512,OMN,Oman,NA
586,PAK,Pakistan,NA
591,PAN,Panama,NA
604,PER,Peru,23.6
608,PHL,Philippines,19.1
598,PNG,Papua New Guinea,33.3
616,POL,Poland,3.4
620,PRT,Portugal,55.2
600,PRY,Paraguay,NA
634,QAT,Qatar,NA
642,ROU,Romania,1.4
643,RUS,Russia,2.2
646,RWA,Rwanda,NA
682,SAU,Saudi Arabia,NA
729,SDN,Sudan,NA
686,SEN,Senegal,7.1
702,SGP,Singapore,100
90,SLB,Solomon Islands,73.3
694,SLE,Sierra Leone,NA
222,SLV,El Salvador,NA
688,SRB,Serbia,NA
678,STP,Sao Tome and Principe,NA
740,SUR,Suriname,NA
703,SVK,Slovakia,NA
705,SVN,Slovenia,NA
752,SWE,Sweden,3.6
748,SWZ,Eswatini,NA
690,SYC,Seychelles,NA
148,TCD,Chad,NA
768,TGO,Togo,NA
764,THA,Thailand,5.5
762,TJK,Tajikistan,NA
795,TKM,Turkmenistan,NA
626,TLS,Timor-Leste,100
776,TON,Tonga,73.5
780,TTO,Trinidad and Tobago,6.7
788,TUN,Tunisia,NA
792,TUR,Turkey,7.2
158,TWN,Taiwan,10.9
834,TZA,Tanzania,NA
800,UGA,Uganda,NA
804,UKR,Ukraine,4.1
858,URY,Uruguay,NA
840,USA,United States of America,4
860,UZB,Uzbekistan,NA
670,VCT,Saint Vincent and the Grenadines,NA
862,VEN,Venezuela,17.8
704,VNM,Viet Nam,2.1
548,VUT,Vanuatu,66.2
882,WSM,Samoa,NA
710,ZAF,South Africa,7.7
894,ZMB,Zambia,NA
716,ZWE,Zimbabwe,NA