iso,code,country,B.2.3.1_raw_2016,B.2.3.1_raw_2017,B.2.3.1_raw_2018
ABW,533,Aruba,NA,NA,NA
AFG,4,Afghanistan,0.8,0.8,0.8
AGO,24,Angola,0.9,0.9,0.9
AIA,660,Anguilla,NA,NA,NA
ALB,8,Albania,1.0918,1.0918,1.106
AND,20,Andorra,NA,NA,NA
ARE,784,United Arab Emirates,1.2,1.2,1.2
ARG,32,Argentina,2.9189,2.9303,2.9083
ARM,51,Armenia,1.1748,1.3155,1.3082
ATG,28,Antigua and Barbuda,1.2,1.2,1.2
AUS,36,Australia,1.9114,1.8838,1.8769
AUT,40,Austria,1.4274,1.434,1.3952
AZE,31,Azerbaijan,1.1792,1.1792,1.181
BDI,108,Burundi,0.9,0.9,0.9
BEL,56,Belgium,1.4831,1.5153,1.5137
BEN,204,Benin,0.55,0.55,0.55
BFA,854,Burkina Faso,0.8,0.8,0.8
BGD,50,Bangladesh,0.7,0.6997,0.7
BGR,100,Bulgaria,1.7096,1.738,1.7056
BHR,48,Bahrain,1.5972,1.6204,1.6436
BHS,44,Bahamas,1.2041,1.2042,1.2042
BIH,70,Bosnia and Herzegovina,1.5283,1.5326,1.538
BLM,652,Saint Barthelemy,NA,NA,NA
BLR,112,Belarus,1.3029,1.3324,1.332
BLZ,84,Belize,1.6217,1.6552,1.6861
BMU,60,Bermuda,1.2,1.2,1.2
BOL,68,Bolivia,2.537,2.4905,2.3277
BRA,76,Brazil,2.2584,2.3289,2.3781
BRB,52,Barbados,1.6236,1.6236,1.6236
BRN,96,Brunei Darussalam,1.4865,1.4835,1.4806
BTN,64,Bhutan,0.9873,1.2478,0.6997
BWA,72,Botswana,0.7273,1.0715,0.9028
CAF,140,Central African Republic,0.8549,0.8566,0.8583
CAN,124,Canada,1.669,1.676,1.7172
CHE,756,Switzerland,1.3493,1.3057,1.3672
CHL,152,Chile,2.2659,2.1935,2.2353
CHN,156,China,1.3642,1.3906,1.387
CIV,384,Cote d'Ivoire,0.925,0.9255,0.9261
CMR,120,Cameroon,0.8,0.8,0.8
COD,180,Dem. Rep. Congo,0.6011,0.6008,0.6005
COG,178,Republic of Congo,1,1,1
COK,184,Cook Islands,0.8,0.8,0.8
COL,170,Colombia,1.9231,1.9994,2.0353
COM,174,Comoros,0.8,0.8,0.8
CPV,132,Cabo Verde,1.601,1.8313,1.7425
CRI,188,Costa Rica,1.6576,1.7137,1.7331
CUB,192,Cuba,1.299,1.5189,1.3579
CUW,531,Curacao,NA,NA,NA
CYM,136,Cayman Islands,NA,NA,NA
CYP,196,Cyprus,2,2,2
CZE,203,Czech Republic,1.3259,1.3142,1.3191
DEU,276,Germany,1.5787,1.5999,1.6189
DJI,262,Djibouti,NA,NA,NA
DMA,212,Dominica,1,1,1
DNK,208,Denmark,1.5169,1.4966,1.5078
DOM,214,Dominican Republic,1.6329,1.6329,1.5711
DZA,12,Algeria,1,1,1
ECU,218,Ecuador,2.1266,2.1258,2.1263
EGY,818,Egypt,1.1225,1.4475,1.3756
ERI,232,Eritrea,0.8525,0.8524,0.8523
ESH,732,Western Sahara,NA,NA,NA
ESP,724,Spain,1.8942,1.9071,1.9274
EST,233,Estonia,1.7087,1.7342,1.689
ETH,231,Ethiopia,0.8,0.8,0.8
FIN,246,Finland,1.7199,1.6942,1.6638
FJI,242,Fiji,1.3557,2.8824,3
FLK,238,Falkland Islands,1.2988,1.299,1.2991
FRA,250,France,1.3558,1.3728,1.3989
FRO,234,Faeroe Islands,NA,NA,NA
FSM,583,Micronesia,0.798,0.798,0.798
GAB,266,Gabon,0.8,0.8,0.8
GBR,826,United Kingdom,1.5314,1.5229,1.5391
GEO,268,Georgia,1.8634,1.8023,1.7964
GGY,831,Guernsey,NA,NA,NA
GHA,288,Ghana,0.7006,0.6842,0.6782
GIN,324,Guinea,1.4612,1.719,1.802
GMB,270,Gambia,1,1,1
GNB,624,Guinea-Bissau,0.798,0.798,0.798
GNQ,226,Equatorial Guinea,0.8,0.8,0.8
GRC,300,Greece,1.8843,1.6788,1.6292
GRD,308,Grenada,0.9764,0.9655,0.9705
GRL,304,Greenland,NA,NA,NA
GTM,320,Guatemala,1.6433,1.6139,1.5988
GUY,328,Guyana,1.1112,1.0345,1.5226
HKG,344,Hong Kong,1.532,1.51,1.5097
HND,340,Honduras,1.832,1.8377,1.8596
HRV,191,Croatia,1.1027,1.1311,1.015
HTI,332,Haiti,0.9,0.9,0.9
HUN,348,Hungary,1.91,1.9604,1.9129
IDN,360,Indonesia,0.8844,0.8351,0.8563
IMN,833,Isle of Man,NA,NA,NA
IND,356,India,1.3717,1.3925,1.4062
IRL,372,Ireland,1.059,1.0573,1.0556
IRN,364,Iran,1.1541,1.164,1.1603
IRQ,368,Iraq,1.1946,1.1328,1.1427
ISL,352,Iceland,1.657,1.6553,1.6704
ISR,376,Israel,1.2651,1.1512,1.1841
ITA,380,Italy,1.8442,1.8328,1.8207
JAM,388,Jamaica,1.6481,1.6482,1.6663
JEY,832,Jersey,NA,NA,NA
JOR,400,Jordan,0.9179,0.9319,0.9233
JPN,392,Japan,2.8414,2.8673,2.82
KAZ,398,Kazakhstan,1.6364,1.7407,1.7087
KEN,404,Kenya,1.1904,1.1865,1.1827
KGZ,417,Kyrgyzstan,1.4001,1.475,1.3962
KHM,116,Cambodia,1,1,1
KIR,296,Kiribati,0.85,0.85,0.85
KNA,659,Saint Kitts and Nevis,0.8064,0.7684,0.7421
KOR,410,South Korea,0.8141,0.8192,0.8159
KWT,414,Kuwait,1.3246,1.2789,1.3438
LAO,418,Laos,0.8017,0.8013,0.8009
LBN,422,Lebanon,1.9231,1.946,1.8803
LBR,430,Liberia,0.8,0.8,0.8
LBY,434,Libya,1.1675,1.1594,1.1512
LCA,662,Saint Lucia,1.2,1.2,1.2
LIE,438,Liechtenstein,NA,NA,NA
LKA,144,Sri Lanka,1.2599,1.2208,1.2416
LSO,426,Lesotho,0.8,0.8,0.8
LTU,440,Lithuania,1.8258,1.643,1.8096
LUX,442,Luxembourg,1.3652,1.3585,1.3574
LVA,428,Latvia,1.7086,1.7443,1.6873
MAC,446,Macao,0.9,0.9,0.9
MAR,504,Morocco,1.1088,1.2362,1.2661
MCO,492,Monaco,NA,NA,NA
MDA,498,Moldova,1.5073,1.3032,1.2749
MDG,450,Madagascar,0.8,0.8,0.8
MDV,462,Maldives,NA,NA,NA
MEX,484,Mexico,1.8355,1.852,1.8418
MHL,584,Marshall Islands,NA,NA,NA
MKD,807,North Macedonia,0.7163,0.8039,0.7065
MLI,466,Mali,0.7895,0.8061,0.8
MLT,470,Malta,1.784,1.7291,1.6634
MMR,104,Myanmar,1.2997,1.3043,1.2877
MNE,499,Montenegro,1.2129,1.3008,1.2959
MNG,496,Mongolia,1.3119,1.4013,1.2521
MOZ,508,Mozambique,1.4342,1.3419,1.6759
MRT,478,Mauritania,0.7989,0.7989,0.7988
MUS,480,Mauritius,0.9645,0.9937,1.004
MWI,454,Malawi,2.4916,1.993,1.993
MYS,458,Malaysia,1.9927,2.0104,2.0169
NAM,516,Namibia,0.8,0.8,0.8
NCL,540,New Caledonia,2.0438,1.8217,1.7834
NER,562,Niger,0.8,0.8,0.8
NGA,566,Nigeria,1,1,1
NIC,558,Nicaragua,2.0658,2.0812,2.0565
NIU,570,Niue,0.9989,1.0042,1.0096
NLD,528,Netherlands,1.6595,1.6638,1.6895
NOR,578,Norway,1.3139,1.4165,1.4219
NPL,524,Nepal,0.7489,0.7651,0.7794
NRU,520,Nauru,0.8,0.8,0.8
NZL,554,New Zealand,1.9163,1.8689,1.8972
OMN,512,Oman,0.8,0.8,0.8
PAK,586,Pakistan,1.2,1.197,1.1919
PAN,591,Panama,1.6822,1.6822,1.717
PER,604,Peru,2.0343,2.065,2.0927
PHL,608,Philippines,1.1675,1.1779,1.1835
PLW,585,Palau,NA,NA,NA
PNG,598,Papua New Guinea,0.9,0.9,0.9
POL,616,Poland,1.8243,1.8473,1.871
PRK,408,North Korea,1.1,1.1,1.1
PRT,620,Portugal,1.5513,1.5846,1.5168
PRY,600,Paraguay,1,1,1
PSE,275,State of Palestine,1.6571,1.6556,1.6541
PYF,258,French Polynesia,0.9,0.9,0.9
QAT,634,Qatar,1.3003,1.314,1.2956
ROU,642,Romania,1.6349,1.6705,1.707
RUS,643,Russia,1.7029,1.749,1.7628
RWA,646,Rwanda,3,3,3
SAU,682,Saudi Arabia,1,1,1
SDN,729,Sudan,2.0261,2.089,2.1195
SEN,686,Senegal,1.3728,1.4068,1.4314
SGP,702,Singapore,1.9908,1.9903,1.9901
SLB,90,Solomon Islands,0.8,0.8,0.8
SLE,694,Sierra Leone,0.9,0.9,0.9
SLV,222,El Salvador,1.2777,1.2637,1.2518
SMR,674,San Marino,NA,NA,NA
SOM,706,Somalia,0.8,0.8,0.8
SRB,688,Serbia,1.8965,1.6792,1.743
SSD,728,South Sudan,1,1,1
STP,678,Sao Tome and Principe,0.6252,0.7698,0.5734
SUR,740,Suriname,1.6001,1.5999,1.6
SVK,703,Slovakia,1.537,1.5433,1.5602
SVN,705,Slovenia,1.656,1.6636,1.6939
SWE,752,Sweden,1.5026,1.4748,1.53
SWZ,748,Eswatini,1,1,1
SXM,534,Sint Maarten,NA,NA,NA
SYC,690,Seychelles,1.4736,1.5175,1.5507
SYR,760,Syria,1.2207,1.217,1.2224
TCA,796,Turks and Caicos Islands,NA,NA,NA
TCD,148,Chad,0.798,0.798,0.798
TGO,768,Togo,0.8,0.8,0.8
THA,764,Thailand,1.3314,1.3427,1.3495
TJK,762,Tajikistan,0.9326,0.9326,0.9193
TKM,795,Turkmenistan,1.2524,1.249,1.2457
TLS,626,Timor-Leste,0.8,0.8,0.8
TON,776,Tonga,0.7846,0.7785,0.7725
TTO,780,Trinidad and Tobago,1.9144,1.921,2.039
TUN,788,Tunisia,1.3369,1.3376,1.3696
TUR,792,Turkey,1.7058,1.7394,1.7555
TUV,798,Tuvalu,0.929,0.9331,0.9372
TWN,158,Taiwan,1.6595,1.6668,1.6779
TZA,834,Tanzania,1.0879,1.0538,1.0584
UGA,800,Uganda,1.2975,1.2974,1.2973
UKR,804,Ukraine,1.8853,1.8793,1.9111
URY,858,Uruguay,1.0388,1.034,1.0237
USA,840,United States of America,2.1,2.1148,2.136
UZB,860,Uzbekistan,1.8878,1.9787,2.0185
VAT,336,Holy See,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,1,1,1
VEN,862,Venezuela,1.7524,1.7647,1.7987
VGB,92,British Virgin Islands,NA,NA,NA
VNM,704,Viet Nam,1.7713,1.7661,1.7568
VUT,548,Vanuatu,1,1,1
WLF,876,Wallis and Futuna Islands,0.8013,0.8013,0.8013
WSM,882,Samoa,0.8,0.8,0.8
XKX,689,Kosovo,NA,NA,NA
YEM,887,Yemen,0.972,0.9708,1.0064
ZAF,710,South Africa,1.7934,1.7885,1.7549
ZMB,894,Zambia,1,1,1
ZWE,716,Zimbabwe,1.15,1.15,1.15